SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,4,0,8e-05,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 55; name=SODIUM HEXADECYL TETRA OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=8.0 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,4,0,0.0001,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 55; name=SODIUM HEXADECYL TETRA OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=1.0 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,4,0,0.000101,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 55; name=SODIUM HEXADECYL TETRA OXYETHYLENE SULFATE; temperature=50; additives=nan; authors=GOTT; reference=60018; original CMC=1.01 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,1,0,0.00011,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 56; name=SODIUM OCTADECYL MONO OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=1.1 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,1,0,0.00019,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 56; name=SODIUM OCTADECYL MONO OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=1.9 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCCCOCCOS(=O)(=O)[O-].[Na+],anionic,1,0,9e-05,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 56; name=SODIUM OCTADECYL MONO OXYETHYLENE SULFATE; temperature=50; additives=nan; authors=WEIL STIR; reference=59004; original CMC=9.0 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,2,0,7e-05,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 57; name=SODIUM OCTADECYL DI OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=7.0 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,2,0,8e-05,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 57; name=SODIUM OCTADECYL DI OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=8.0 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,2,0,0.0001,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 57; name=SODIUM OCTADECYL DI OXYETHYLENE SULFATE; temperature=50; additives=nan; authors=GOTT; reference=60018; original CMC=1.00 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,2,0,7e-05,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 57; name=SODIUM OCTADECYL DI OXYETHYLENE SULFATE; temperature=50; additives=nan; authors=WEIL STIR; reference=59004; original CMC=7.0 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCC(CCCCCCCC)OCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,3,0,5e-05,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 58; name=SODIUM OCTADECYL TRI OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=5.0 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCC(CCCCCCCC)OCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,3,0,6.98e-05,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 58; name=SODIUM OCTADECYL TRI OXYETHYLENE SULFATE; temperature=50; additives=nan; authors=GOTT; reference=60018; original CMC=6.98 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCC(CCCCCCCC)OCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,3,0,7e-05,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 58; name=SODIUM OCTADECYL TRI OXYETHYLENE SULFATE; temperature=50; additives=nan; authors=WEIL STIR; reference=59004; original CMC=7.0 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,4,0,4e-05,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 59; name=SODIUM OCTADECYL TETRA OXYETHYLENE SULFATE; temperature=25; additives=nan; authors=WEIL BIST; reference=58003; original CMC=4.0 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,4,0,3.97e-05,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 59; name=SODIUM OCTADECYL TETRA OXYETHYLENE SULFATE; temperature=50; additives=nan; authors=GOTT; reference=60018; original CMC=3.97 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCCCCCCCCCOCCOCCOCCOCCOS(=O)(=O)[O-].[Na+],anionic,4,0,7e-05,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 59; name=SODIUM OCTADECYL TETRA OXYETHYLENE SULFATE; temperature=50; additives=nan; authors=WEIL STIR; reference=59004; original CMC=7.0 X10-5 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCOCC(C)OCC(C)OCC(C)O,nonionic,3,0,0.00107,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 103; name=HEXYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=15; additives=nan; authors=CORK GOOD; reference=64003; original CMC=1.07 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCOCC(C)OCC(C)OCC(C)O,nonionic,3,0,0.075,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 103; name=HEXYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=20; additives=nan; authors=MULL METC; reference=62015; original CMC=7.5 X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCOCC(C)OCC(C)OCC(C)O,nonionic,3,0,0.1,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 103; name=HEXYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=25; additives=nan; authors=CORK GOOD; reference=64003; original CMC=1.00 X10-1 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCOCC(C)OCC(C)OCC(C)O,nonionic,3,0,0.078,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 103; name=HEXYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=35; additives=nan; authors=CORK GOOD; reference=64003; original CMC=7.8 X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCOCCOCCOCCOCCCC,nonionic,3,0,0.0093,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 104; name=OCTYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=15; additives=nan; authors=CORK GOOD; reference=64003; original CMC=9.3 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCOCCOCCOCCOCCCC,nonionic,3,0,0.0075,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 104; name=OCTYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=25; additives=nan; authors=CORK GOOD; reference=64003; original CMC=7.5 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.0119,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 105; name=OCTYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=15; additives=nan; authors=CORK GOOD; reference=64003; original CMC=1.19 X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.0076,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 105; name=OCTYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=18; additives=nan; authors=GOOD OTTE; reference=61004; original CMC=7.6 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.01127,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 105; name=OCTYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=18; additives=nan; authors=CORK GOOD; reference=64023; original CMC=4.45 X10-1 D 1.127X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.00963,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 105; name=OCTYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=20; additives=nan; authors=FLOR; reference=66020; original CMC=3.8 X10-1 D 9.63 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.0099,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 105; name=OCTYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=25; additives=nan; authors=CORK GOOD; reference=64003; original CMC=9.9 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.0098,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 105; name=OCTYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=25; additives=nan; authors=GOOD OTTE; reference=61004; original CMC=9.8 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.008869,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 105; name=OCTYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=30; additives=nan; authors=CORK GOOD; reference=64023; original CMC=3.50 X10-1 D 8.869X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.0077,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 105; name=OCTYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=35; additives=nan; authors=CORK GOOD; reference=64003; original CMC=7.7 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.007222,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 105; name=OCTYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=40; additives=nan; authors=CORK GOOD; reference=64023; original CMC=2.85 X10-1 D 7.222X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.0067,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 105; name=OCTYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=45; additives=nan; authors=CORK GOOD; reference=64003; original CMC=6.7 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCC(=O)O.CCCCCCC(=O)O.CCCCC(=O)O.C(C(CO)(CO)CO)O,nonionic,9,0,0.016,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 106; name=OCTYL /OXYETHYLENE/ 9 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=15; additives=nan; authors=CORK GOOD; reference=64003; original CMC=1.6 X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCC(=O)O.CCCCCCC(=O)O.CCCCC(=O)O.C(C(CO)(CO)CO)O,nonionic,9,0,0.013,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 106; name=OCTYL /OXYETHYLENE/ 9 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=25; additives=nan; authors=CORK GOOD; reference=64003; original CMC=1.3 X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCC(=O)O.CCCCCCC(=O)O.CCCCC(=O)O.C(C(CO)(CO)CO)O,nonionic,9,0,0.011,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 106; name=OCTYL /OXYETHYLENE/ 9 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=35; additives=nan; authors=CORK GOOD; reference=64003; original CMC=1.1 X10-2 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,nonionic,3,0,0.00073,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 107; name=DECYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=15; additives=nan; authors=CORK GOOD; reference=64003; original CMC=7.3 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,nonionic,3,0,0.0006,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 107; name=DECYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=25; additives=nan; authors=CORK GOOD; reference=64003; original CMC=6.0 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,nonionic,3,0,0.00056,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 107; name=DECYL /OXYETHYLENE/ 3 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=35; additives=nan; authors=CORK GOOD; reference=64003; original CMC=5.6 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.00114,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 108; name=DECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=15; additives=nan; authors=CORK GOOD; reference=64003; original CMC=1.14 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.00092,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 108; name=DECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=20; additives=nan; authors=CARL CHAL; reference=64009; original CMC=9.2 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.00096,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 108; name=DECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=20; additives=nan; authors=DONB JAN; reference=63021; original CMC=9.6 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.00095,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 108; name=DECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=23.5; additives=nan; authors=CARL CHAL; reference=64009; original CMC=9.5 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.0009,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 108; name=DECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=25; additives=nan; authors=CORK GOOD; reference=64003; original CMC=9.0 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.0008991,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 108; name=DECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=25; additives=nan; authors=CORK GOOD; reference=64023; original CMC=3.80 X10-2 D 8.991X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.00066,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 108; name=DECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=35; additives=nan; authors=CORK GOOD; reference=64003; original CMC=6.6 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.0006601,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 108; name=DECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=35; additives=nan; authors=CORK GOOD; reference=64023; original CMC=2.79 X10-2 D 6.601X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.00064,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 108; name=DECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=45; additives=nan; authors=CORK GOOD; reference=64003; original CMC=6.4 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,0.000433,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 108; name=DECYL /OXYETHYLENE/ 6 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=45; additives=nan; authors=CORK GOOD; reference=64023; original CMC=1.83 X10-2 D 4.330X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
CCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,9,0,0.0014,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 109; name=DECYL /OXYETHYLENE/ 9 ALCOHOL HOMOGENEOUS HEAD GROUP; temperature=15; additives=nan; authors=CORK GOOD; reference=64003; original CMC=1.4 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets
