名称,smiles,EO,PO,亲油亲水值HLB,CMC（临界胶束浓度）,表面张力（γcmc）,界面张力（IFT）,润湿性接触角θ,最小分子截面积Amin,最大表面过剩浓度Γmax,表面张力降低效率参数Pc20,文献或来源（如果可以）,source_temperature
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00811,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=BENT SPAR; reference=66038; original CMC=8.11 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0088,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=MIUR MATS; reference=57025; original CMC=8.8 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00816,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=FLOC; reference=61007; original CMC=8.16 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00073,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=GINN HARR; reference=58008; original CMC=7.3 X10-4 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00563,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=GINN HARR; reference=58008; original CMC=5.63 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.0072,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=SCHI MANN; reference=66001; original CMC=7.2 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00163,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=GINN HARR; reference=58008; original CMC=1.63 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00403,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=GINN HARR; reference=58008; original CMC=4.03 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.007943,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=GINN KINN; reference=61015; original CMC=2.29 X10-1 D 7.943X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
SODIUM DODECYL 1 SULFATE,CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],0.0,0.0,,0.00822,,,,,,,PSDI/NIST Critical Micelle Concentrations of Aqueous Surfactant Systems; Compound No. 1; name=SODIUM DODECYL 1 SULFATE; temperature=25; additives=nan; authors=MYSE OTTE; reference=61017; original CMC=8.22 X10-3 M; DOI 10.6028/NBS.NSRDS.36; https://github.com/PSDI-UK/psdi-datasets,25
