SMILES,type,EO,PO,CMC,AW_ST_CMC,Gamma_max,Area_min,Pi_CMC,pC20,source
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCO,nonionic,6,0,1.6599999998468975e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.220108088 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,7,0,1.6999999985192859e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.230448921 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,9,0,2.1000000012866145e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.322219295 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,12,0,2.2999999999068293e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.361727836 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,15,0,3.1000000011829645e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.491361694 converted to mol/L; https://github.com/sandialabs/P2SURF
CCCCCCCCCCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO,nonionic,21,0,3.899999999762034e-06,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=0.591064607 converted to mol/L; https://github.com/sandialabs/P2SURF
OCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,nonionic,3,0,0.0025000000018879035,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.39794001 converted to mol/L; https://github.com/sandialabs/P2SURF
OCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,nonionic,4,0,0.0027999999977936303,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.44715803 converted to mol/L; https://github.com/sandialabs/P2SURF
OCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,nonionic,6,0,0.0036999999994292328,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.56820172 converted to mol/L; https://github.com/sandialabs/P2SURF
OCCOCCOCCOCCOCCOCCOCCOCCSCCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,nonionic,8,0,0.0047999999958488575,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=3.68124124 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,nonionic,10,0,0.00033000000009278765,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.51851394 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCO)cc1,nonionic,2,0,0.00012999999990815275,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.11394335 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCO)cc1,nonionic,3,0,9.699999994053391e-05,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=1.98677173 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCO)cc1,nonionic,4,0,0.00012999999990815275,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.11394335 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCO)cc1,nonionic,5,0,0.0001499999999807684,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.17609126 converted to mol/L; https://github.com/sandialabs/P2SURF
CC(C)(C)CC(C)(C)c1ccc(OCCOCCOCCOCCOCCOCCO)cc1,nonionic,6,0,0.00021000000012866144,,,,,,P2SURF; Single_Surfactant_CMC/total_smile_and_property.csv; experimental CMC dataset; logCMC(uM)=2.3222193 converted to mol/L; https://github.com/sandialabs/P2SURF
