Compound No.,Mol. Wgt.,Name,Additives,Temperature,CMC,Qual. Mat. Meth.,Method,Authors,Reference,Source,Evaluation,CMC Value 1,CMC Units 1,CMC Value 2,CMC Units 2,CMC Value 3,CMC Units 3
248,294.4,TETRADECANE 1-HYDROXY 2-SULFONIC ACID,,50,2.61 X10-3 M,BG,VISUAL SPCTR CHNGE PNCN,WEIL STIR,63013,T,L,0.00261,M,,,,
248,294.4,TETRADECANE 1-HYDROXY 2-SULFONIC ACID,,UNK,1.94 X10-3 M,BB,SURFACE TENSION LOG PLOT,WEIL STIR,63013,T,L,0.00194,M,,,,
249,322.5,HEXADECANE 1-HYDROXY 2-SULFONIC ACID,,50,5.8 X10-4 M,,VISUAL SPCTR CHNGE PNCN,WEIL STIR,63013,T,L,0.00058,M,,,,
249,322.5,HEXADECANE 1-HYDROXY 2-SULFONIC ACID,,UNK,6.5 X10-4 M,BB,SURFACE TENSION LOG PLOT,WEIL STIR,63013,T,L,0.00065,M,,,,
250,350.5,OCTADECANE 1-HYDROXY 2-SULFONIC ACID,,50,2.1 X10-4 M,CG,VISUAL SPCTR CHNGE PNCN,WEIL STIR,63013,T,L,0.00021,M,,,,
250,350.5,OCTADECANE 1-HYDROXY 2-SULFONIC ACID,,UNK,2.2 X10-4 M,CC,SURFACE TENSION LOG PLOT,WEIL STIR,63013,T,L,0.00022,M,,,,
251,173.3,OCTYL DIMETHYL AMINE OXIDE,,25,1.6 X10-2 M,BD,HEAT OF DILUTION,BENJ,64016,L,L,0.016,M,,,,
251,173.3,OCTYL DIMETHYL AMINE OXIDE,,27,1.5 X10-1 M,BC,TURBIDITY PLT LITE SCATR,HERR,62005,G,L,0.15,M,,,,
251,173.3,OCTYL DIMETHYL AMINE OXIDE,,30,2.4 X10 0 P 1.38 X10-1 S,BC,DENSITY,BENJ,66040,T M,L,2.4,P,0.138,S,,
252,201.3,DECYL DIMETHYL AMINE OXIDE,,25,1.9 X10-2 M,BD,HEAT OF DILUTION,BENJ,64016,L,L,0.019,M,,,,
252,201.3,DECYL DIMETHYL AMINE OXIDE,,27,1.5 X10-2 M,BC,TURBIDITY PLT LITE SCATR,HERR,62005,G,L,0.015,M,,,,
252,201.3,DECYL DIMETHYL AMINE OXIDE,,30,3.3 X10-1 P 1.63 X10-2 S,BC,DENSITY,BENJ,66040,T M,L,0.33,P,0.0163,S,,
253,257.5,TETRADECYL DIMETHYL AMINE OXIDE,,27,2.7 X10-4 M,BC,TURBIDITY PLT LITE SCATR,HERR,62005,G,L,0.00027,M,,,,
254,187.3,NONYL DIMETHYL AMINE OXIDE,,25,5.4 X10-2 M,BC,HEAT OF DILUTION,BENJ,64016,L,3,0.054,M,,,,
254,187.3,NONYL DIMETHYL AMINE OXIDE,,30,1.1 X10 0 P 5.87 X10-2 S,BD,DENSITY,BENJ,66040,T M,L,1.1,P,0.0587,S,,
255,354.6,"POTASSIUM 9,10 DIHYDROXY STEARATE",,55,1.1 X10-2 M,XC,REFRACTIVE INDEX,KLEV,53010,T,L,0.011,M,,,,
255,354.6,"POTASSIUM 9,10 DIHYDROXY STEARATE",,55,8.0 X10-3 M,XB,REFRACTIVE INDEX,KLEV,53010,T,L,0.008,M,,,,
255,354.6,"POTASSIUM 9,10 DIHYDROXY STEARATE",1. E-3 M K OH,60,7.5 X10-3 M,BC,EQUIV CONDCTNCE GRAPH,GREG TART,48012,T,3,0.0075,M,,,,
256,322.6,POTASSIUM STEARATE,,55,4.5 X10-4 M,XE,REFRACTIVE INDEX,KLEV,53010,T,L,0.00045,M,,,,
256,322.6,POTASSIUM STEARATE,1. E-3 M K OH,60,5. X10-4 M,BE,EQUIV CONDCTNCE GRAPH,GREG TART,48012,T,L,0.0005,M,,,,
257,332.3,SODIUM DI-N-BUTYL SULFOSUCCINATE,,25,2.0 X10-1 M,BC,SURFACE TENSION LOG PLOT,WILL DIXO,57009,TL,L,0.2,M,,,,
257,332.3,SODIUM DI-N-BUTYL SULFOSUCCINATE,,29.9,2.1 X10-1 M,BE,SPECFC CONDCTNCE GRAPH,MILL DIXO,58001,T,L,0.21,M,,,,
258,360.3,SODIUM DI-N-AMYL SULFOSUCCINATE,,,48016,,VALUES FRM REF IN CMC,KOLT STRI,49005,,R,,,,,,
258,360.3,SODIUM DI-N-AMYL SULFOSUCCINATE,,25,5.3 X10-2 M,BC,SURFACE TENSION LOG PLOT,WILL DIXO,57009,AL,3,0.053,M,,,,
258,360.3,SODIUM DI-N-AMYL SULFOSUCCINATE,,29.9,7.3 X10-2 M,BE,SPECFC CONDCTNCE GRAPH,MILL DIXO,58001,T,L,0.073,M,,,,
